Id;aÁoes;ativo;fechamento_ajustado
470;FRAS-LE_ON;FRAS3;0.00
471;Frutivita_PNA;FVIT5L;0.00
472;GAFISA;GFSA11;0.00
473;GAFISA;GFSA12;0.00
474;GAFISA_ON;GFSA3;0.00
475;GAFISA_ON;GFSA9;0.00
476;GAFISA_ON;GFSA1;0.00
477;Gaia_Agro_Securitizadora;GAFL-CRA1DB0;0.00
478;Gaia_Agro_Securitizadora;GAFL-CRA02B0;0.00
479;Gaia_Agro_Securitizadora;GAFL-CRA1D0B;0.00
480;Gama_Participacoes_ON;OPGM3B;0.00
481;Gameleira_Pna_PNA;GPSA5L;0.00
482;Gemasa_Pnc_PNC;GESA7L;0.00
483;GENERAL_SHOP_ON;GSHP3;0.00
484;GERDAU_PN;GGBR4;0.00
485;GERDAU_ON;GGBR3;0.00
486;GOL_PN;GOLL12;0.00
487;GOL_PN;GOLL4;0.00
488;GOL_PN;GOLL11;0.00
489;GPC_PART_PN;GPCP4;0.00
490;GPC_PART_ON;GPCP3;0.00
491;GRAMAZON_PNA_MB_PNA;GRMZ5L;0.00
492;GRAZZIOTIN_PN;CGRA4;0.00
493;GRAZZIOTIN_ON;CGRA3;0.00
494;GRENDENE_ON;GRND3;0.00
495;Grupo_De_Moda_Soma_ON;SOMA3;0.00
496;Grupo_Mateus_ON;GMAT3;0.00
497;CENTAURO_ON;CNTO3;0.00
498;Grupo_Soma_S.A;GSOM3;0.00
499;GUARARAPES_ON;GUAR3;0.00
500;HAGA_PN;HAGA4;0.00
501;HAGA_ON;HAGA3;0.00
502;HAPVIDA_ON;HAPV3;0.00
503;HELBOR_ON;HBOR3;0.00
504;HERCULES_ON;HETA3;0.00
505;HERCULES_PN;HETA4;0.00
506;Hidrovias_DO_Brasil_ON;HBSA3;0.00
507;Hoteis_Global_PNA;HTGL5L;0.00
508;HOTEIS_OTHON_PN;HOOT4;0.00
509;HOTEIS_OTHON_ON;HOOT3;0.00
510;Hotel_Caicara_PN;HCCR4L;0.00
511;HYPERA_ON;HYPE3;0.00
512;I_dividendos;IDIV11;0.00
513;Ibrasil;IBRA11;0.00
514;Iconsumo;ICON11;0.00
515;IDEIASNET_ON;IDNT3;0.00
516;IFinanceiro;IFNC11;0.00
517;IGB_S/A_ON;IGBR3;0.00
518;Igc_IGN_Nm;IGNM11;0.00
519;IGC_Trade;IGCT11;0.00
520;Igua_Saneamento_ON;IGSN3;0.00
521;IGUATEMI_ON;IGTA3;0.00
522;Imat_Basicos;IMAT11;0.00
523;Imobiliario;IMOB11;0.00
524;Imperador_PNA;IAIC5L;0.00
525;Ind_Fdo_Imob_IFI;IFIX11;0.00
526;Indice_Bovespa;IBOV11;0.00
527;Indice_Brasil;IBXX11;0.00
528;Indice_Energia_Eletrica;IEEX11;0.00
529;Indice_Governanca_Corpor...;IGCX11;0.00
530;Indice_Ibrx_50;IBXL11;0.00
531;Indice_Setor_Indl;INDX11;0.00
532;Indice_Tag_Along;ITAG11;0.00
533;Indice_Valor_Bovespa_Seg...;IVBX11;0.00
534;J_B_DUARTE_ON;JBDU3;0.00
535;J_B_DUARTE_PN;JBDU4;0.00
536;INDS_ROMI_ON;ROMI3;0.00
537;INEPAR;INEP-DCA710B;0.00
538;INEPAR;INEP-DCA71B0;0.00
539;INEPAR;INEP-DCA71L1;0.00
540;INEPAR;INEP-DCA61L1;0.00
541;INEPAR;INEP-DCA71L0;0.00
542;INEPAR;INEP-DCA61L0;0.00
543;INEPAR_PN;INEP4;0.00
544;INEPAR_ON;INEP3;0.00
545;INEPAR;INEP-DCA610B;0.00
546;INEPAR;INEP-DCA61B0;0.00
547;Inga_Agroflorestal_PN;INGA4L;0.00
548;Inncorp_ON;SLCT3B;0.00
549;IHPARDINI_ON;PARD3;0.00
550;INTER_CONSTRUTORA_ON;INNT3;0.00
551;INTERMEDICA_ON;GNDI3;0.00
552;IMC_S/A_ON;MEAL3;0.00
553;INVEST_BEMGE_ON;FIGE3;0.00
554;INVEST_BEMGE_PN;FIGE4;0.00
555;Invests_Participacoes_In..._PN;IVPR4B;0.00
556;Invests_Participacoes_In..._ON;IVPR3B;0.00
